property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,,
A016138,BN0016995,000B86816EFB,10.151.172.13,slo-rw171a-a201-b,5,A201-B,Aliso,Poly Canyon Village,W,,
A016139,BN0016814,000B86816B72,10.151.172.14,slo-rw171a-a201-c,2.4,A201-C,Aliso,Poly Canyon Village,W,,
A016140,BN0016952,000B86816E24,10.151.172.15,slo-rw171a-a202-l,5,A202-L,Aliso,Poly Canyon Village,W,,
A016141,BN0016953,000B86816E29,10.151.172.16,slo-rw171a-a202-c,2.4,A202-C,Aliso,Poly Canyon Village,W,,
A016142,BN0016954,000B86816E2E,10.151.172.17,slo-rw171a-a203-l,5,A203-L,Aliso,Poly Canyon Village,W,,
A016143,BN0016957,000B86816E3D,10.151.172.18,slo-rw171a-a203-b,2.4,A203-B,Aliso,Poly Canyon Village,W,,
A016144,BN0016744,000B86816A14,10.151.172.19,slo-rw171a-a203-am,AM,A203-D,Aliso,Poly Canyon Village,W,,
A016145,BN0016703,000B86816947,10.151.172.20,slo-rw171a-a204-l,5,A204-L,Aliso,Poly Canyon Village,W,,
A016146,BN0016685,000B868168ED,10.151.172.21,slo-rw171a-a204-b,2.4,A204-B,Aliso,Poly Canyon Village,W,,
A016147,BN0016696,000B86816924,10.151.172.22,slo-rw171a-a205-l,5,A205-L,Aliso,Poly Canyon Village,W,,
A016148,BN0016480,000B868164EC,10.151.172.23,slo-rw171a-a205-b,2.4,A205-B,Aliso,Poly Canyon Village,W,,
A016149,BN0016738,000B868169F6,10.151.171.16,slo-rw171a-a206-l,5,A206-L,Aliso,Poly Canyon Village,W,,
A016150,BN0016664,000B86816884,10.151.171.17,slo-rw171a-a206-c,2.4,A206-C,Aliso,Poly Canyon Village,W,,
A016151,BN0016752,000B86816A3C,10.151.171.18,slo-rw171a-a206-am,AM,A206-A,Aliso,Poly Canyon Village,W,,
A016152,BN0016710,000B8681696A,10.151.171.19,slo-rw171a-a207-l,5,A207-L,Aliso,Poly Canyon Village,W,,
A016153,BN0016707,000B8681695B,10.151.171.20,slo-rw171a-a207-b,2.4,A207-B,Aliso,Poly Canyon Village,W,,
A016154,BN0016417,000B868163B1,10.151.171.21,slo-rw171a-a207-am,AM,A207-D,Aliso,Poly Canyon Village,W,,
A016155,BN0016631,000B868167DF,10.151.171.22,slo-rw171a-a208-l,5,A208-L,Aliso,Poly Canyon Village,W,,
A016156,BN0016770,000B86816A96,10.151.171.23,slo-rw171a-a208-c,2.4,A208-C,Aliso,Poly Canyon Village,W,,
A016157,BN0016675,000B868168BB,10.151.171.24,slo-rw171a-a209-l,5,A209-L,Aliso,Poly Canyon Village,W,,
A016158,BN0016484,000B86816500,10.151.171.25,slo-rw171a-a209-c,2.4,A209-C,Aliso,Poly Canyon Village,W,,
A016159,BN0016653,000B8681684D,10.151.171.26,slo-rw171a-a210-l,5,A210-L,Aliso,Poly Canyon Village,W,,
A016160,BN0016642,000B86816816,10.151.171.27,slo-rw171a-a210-b,2.4,A210-B,Aliso,Poly Canyon Village,W,,
A016161,BN0016483,000B868164FB,10.151.171.28,slo-rw171a-a211-b,2.4,A211-B,Aliso,Poly Canyon Village,W,,
A016162,BN0016414,000B868163A2,10.151.171.29,slo-rw171a-a211-c,5,A211-C,Aliso,Poly Canyon Village,W,,
A016163,BN0016638,000B86816802,10.151.161.8,slo-rw171a-a212-l,5,A212-L,Aliso,Poly Canyon Village,W,,
A016164,BN0016509,000B8681657D,10.151.161.9,slo-rw171a-a212-c,2.4,A212-C,Aliso,Poly Canyon Village,W,,
A016165,BN0016833,000B86816BD1,10.151.161.10,slo-rw171a-a213-l,5,A213-L,Aliso,Poly Canyon Village,W,,
A016166,BN0016865,000B86816C71,10.151.161.11,slo-rw171a-a213-c,2.4,A213-C,Aliso,Poly Canyon Village,W,,
A016167,BN0016848,000B86816C1C,10.151.161.12,slo-rw171a-a213-am,AM,A213-A,Aliso,Poly Canyon Village,W,,
A016168,BN0016867,000B86816C7B,10.151.161.13,slo-rw171a-a214-b,2.4,A214-B,Aliso,Poly Canyon Village,W,,
A016169,BN0016851,000B86816C2B,10.151.161.14,slo-rw171a-a214-c,5,A214-C,Aliso,Poly Canyon Village,W,,
A016170,BN0016844,000B86816C08,10.151.172.24,slo-rw171a-a219-sr,2.4,A219,Aliso,Poly Canyon Village,W,,
A016171,BN0016859,000B86816C53,10.151.171.30,slo-rw171a-a220-sr,2.4,A220,Aliso,Poly Canyon Village,W,,
A016172,BN0016832,000B86816BCC,10.151.172.25,slo-rw171a-a301-b,5,A301-B,Aliso,Poly Canyon Village,W,,
A016173,BN0016839,000B86816BEF,10.151.172.26,slo-rw171a-a301-c,2.4,A301-C,Aliso,Poly Canyon Village,W,,
A016174,BN0012321,000B868113B1,10.151.172.27,slo-rw171a-a302-l,5,A302-L,Aliso,Poly Canyon Village,W,,
A016175,BN0012320,000B868113AC,10.151.172.28,slo-rw171a-a302-c,2.4,A302-C,Aliso,Poly Canyon Village,W,,
